name,名称,18:1 オレイン酸(mg),18:2 n-6 リノール酸(mg),18:3 n-3 α－リノレン酸(mg),18:3 n-6 γ－リノレン酸(mg),18:4 n-3 オクタデカテトラエン酸(mg),20:2 n-6 イコサジエン酸(mg),20:3 n-6 イコサトリエン酸(mg),20:4 n-3 イコサテトラエン酸(mg),20:4 n-6 アラキドン酸(mg),20:5 n-3 イコサペンタエン酸(mg),21:5 n-3 ヘンイコサペンタエン酸(mg),22:4 n-6 ドコサテトラエン酸(mg),22:5 n-3 ドコサペンタエン酸(mg),22:5 n-6 ドコサペンタエン酸(mg),22:6 n-3 ドコサヘキサエン酸(mg),Unnamed: 73,Unnamed: 74,n-3系 多価不飽和(g),n-6系 多価不飽和(g),name,アスパラギン酸(mg),アミノ酸合計(mg),アラニン(mg),アルギニン(mg),アンモニア(mg),イソロイシン(mg),エネルギー(kcal),カリウム(mg),カルシウム(mg),クロム(μg),グリシン(mg),グルタミン酸(mg),セリン(mg),セレン(μg),タンパク質(g),トリプトファン(mg),トレオニン(スレオニン)(mg),ナイアシン(mg),ナトリウム(mg),バリン(mg),パントテン酸(mg),ヒスチジン(mg),ビオチン(μg),ビタミンA(μg),ビタミンB1(mg),ビタミンB12(μg),ビタミンB2(mg),ビタミンB6(mg),ビタミンC(mg),ビタミンD(μg),ビタミンE(mg),ビタミンK(μg),プロリン(mg),マグネシウム(mg),マンガン(mg),モリブデン(μg),ヨウ素(μg),リシン(リジン)(mg),リン(mg),ロイシン(mg),亜鉛(mg),含硫アミノ酸(mg),炭水化物(g),脂肪酸 一価不飽和(g),脂肪酸 多価不飽和(g),脂肪酸 総量(g),脂肪酸 飽和(g),脂質(g),芳香族アミノ酸(mg),葉酸(μg),鉄(mg),銅(mg),食塩相当量(g),食物繊維 総量(g)
apple_pie,アップルパイ,3266.55,596.96,77.46,,,1.08,14.35,,28.4,,,0.58,0.52,,7.6,,,0.08,0.64,,199.7,3112,99.05,119.11,124.76,113.75,330,142.28,26.02,1.43,109.05,1004.16,155.8,7.41,3.22,36.43,91.85,0.32,159.79,133.69,0.37,72.05,2.27,160.05,0.05,0.08,0.03,0.05,4.8,0.26,0.6,5.31,342.25,9.23,0.55,5.41,1.06,83.25,43.21,218.2,0.26,129.81,41.22,3.77,0.76,14.63,10.14,16.86,247.8,11.27,0.48,0.06,0.4,2.09
eggs_benedict,エッグベネディクト,7762.29,1884.08,141.32,,,32.15,21.88,,143.22,,,6.57,5.84,,87.2,,,0.22,2.12,,933.16,10019,508.67,589.97,209.61,476.74,370,155.73,49.75,0.2,340.21,1805.3,700.53,28.1,12.76,142.13,440.44,0.79,422.2,592,1.36,254.15,18.51,231.54,0.15,0.81,0.33,0.12,6.28,1.52,1.14,13.24,588.8,18.47,0.09,8.12,12.2,633.4,196.02,811.11,1.47,529.32,15.28,8.66,2.34,23.71,12.69,27.34,955.66,41.29,1.74,0.09,1.09,0.75
onion_rings,オニオンリング,14095.32,12434.49,2408.16,,,,,,,,,,,,,,,2.39,12.48,,335.66,6349.81,178.31,410.09,257.11,204.79,644,349.31,54.71,1.27,226.03,2182.5,287.79,4.23,6.64,79.47,169.86,0.6,1955.12,240.09,0.66,142.31,1.87,0.03,0.14,,0.03,0.29,14.17,,4.83,59.51,624.08,25.24,0.58,9.06,1.84,184.12,105.17,392.24,0.55,252.08,69.63,14.49,14.89,33.47,4.08,36.25,481.65,33.72,0.83,0.14,4.97,4.34
baby_back_ribs,ベビーバックリブ,7100,1900,83,,,90,16,,56,,,16,18,,10,,,0.11,2.1,,1800,19000,1100,1300,270,860,263,310,4,3,1000,2900,790,21,19.3,230,890,7.3,42,930,0.98,860,3.7,6,0.69,0.3,0.15,0.32,1,0.1,0.3,3,830,22,0.01,,1,1700,180,1500,1.6,730,0.2,7.68,2.21,17.73,7.84,19.2,1400,1,0.3,0.05,0.1,
escargots,エスカルゴ,6,7.56,1.56,,,5.76,0.6,0.12,6.84,1.56,,,0.6,,,,,0,0.02,,,,,,,,10,0.6,48,,,,,,1.98,,,,31.2,,,,,,,0.07,0.01,,,,0.07,0.6,,4.44,0.05,,,,15.6,,0.18,,0.1,0.01,0.03,0.04,0.01,0.12,,0.12,0.47,0.37,0.08,
oysters,カキ,16.6,3.6,1.8,,9,0.6,1,5.8,2.4,24,,,1.4,,14.2,,,0.06,0.01,,116,1080,72,68,26,44,12,38,17.6,0.8,74,170,50,9.6,1.32,11.6,52,0.28,104,50,0.12,26,0.9,4.4,0.01,5.62,0.03,0.02,0.6,,0.24,,58,14.8,0.08,0.8,14.6,80,20,74,2.64,44,0.94,0.04,0.06,0.16,0.05,0.28,82,8,0.38,0.18,0.26,
baklava,バクラヴァ,,,1906,,,,,,,,,,,,,,,1.91,9.21,,,4769,181,415,,190,427,101,19,0,195,,,8,4.2,60,,0.3,113,229,0.29,,1.4,53,0.06,0.1,0.05,0.08,0,0.1,1.6,18,365,26,0.54,5,1,,60,349,0.6,,43.4,6.93,11.11,,6.68,26.6,,17,0.6,0.2,0.3,1.5
falafel,ファラフェル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pad_thai,パッタイ,,,2034,,,,,,,,,,,,,,,2.11,12.41,,,36287,1956,2931,,1524,850,758,471,7,2367,,,41,38,410,,6.3,1737,1771,1.86,,17.2,56,0.24,1.5,0.3,0.39,12,0.5,6.1,70,1749,124,0.82,63,15,,461,2716,3.5,,79.9,16.17,14.52,,6.01,40.2,,78,3.9,0.78,4.4,2.6
beef_carpaccio,牛肉のカルパッチョ,13000,670,33,,,4,27,,28,,,5,,,,,,0.03,0.73,,,,,,,,347,260,3,,,,,,15.1,,,4.3,40,,1.22,,,2,0.08,1.2,0.19,0.33,1,,0.5,10,,17,,,,,150,,3.8,,0.4,15.78,0.76,26.25,9.71,29.9,,7,1.4,0.08,0.1,
