foodname,エネルギー(kcal),タンパク質(g),脂質(kcal),脂肪酸 飽和(g),n-6系 多価不飽和(g),n-3系 多価不飽和(g),炭水化物(g),食物繊維 総量(g),ビタミンA(μg),ビタミンD(μg),ビタミンE(mg),ビタミンK(μg),ビタミンB1(mg),ビタミンB2(mg),ナイアシン(mg),ビタミンB6(mg),ビタミンB12(μg),葉酸(μg),パントテン酸(mg),ビオチン(μg),ビタミンC(mg),ナトリウム(mg),カリウム(mg),カルシウム(mg),マグネシウム(mg),リン(mg),鉄(mg),亜鉛(mg),銅(mg),マンガン(mg),ヨウ素(μg),セレン(μg),クロム(μg),モリブデン(μg)
apple_pie,330.0,3.22,151.74,10.14,0.64,0.08,41.22,2.09,160.05,0.26,0.6,5.31,0.05,0.03,0.32,0.05,0.08,11.27,0.37,2.27,4.8,159.79,142.28,26.02,9.23,43.21,0.48,0.26,0.06,0.55,1.06,7.41,1.43,5.41
eggs_benedict,370.0,12.76,246.06,12.69,2.12,0.22,15.28,0.75,231.54,1.52,1.14,13.24,0.15,0.33,0.79,0.12,0.81,41.29,1.36,18.51,6.28,422.2,155.73,49.75,18.47,196.02,1.74,1.47,0.09,0.09,12.2,28.1,0.2,8.12
onion_rings,644.0,6.64,326.25,4.08,12.48,2.39,69.63,4.34,0.03,0.0,4.83,59.51,0.14,0.03,0.6,0.29,0.0,33.72,0.66,1.87,14.17,1955.12,349.31,54.71,25.24,105.17,0.83,0.55,0.14,0.58,1.84,4.23,1.27,9.06
baby_back_ribs,263.0,19.3,172.8,7.84,2.1,0.11,0.2,0.0,6.0,0.1,0.3,3.0,0.69,0.15,7.3,0.32,0.3,1.0,0.98,3.7,1.0,42.0,310.0,4.0,22.0,180.0,0.3,1.6,0.05,0.01,1.0,21.0,3.0,0.0
escargots,10.0,1.98,1.08,0.01,0.02,0.0,0.1,0.0,0.0,0.0,0.07,0.6,0.0,0.01,0.0,0.0,0.07,0.12,0.0,0.0,0.0,31.2,0.6,48.0,4.44,15.6,0.47,0.18,0.37,0.05,0.0,0.0,0.0,0.0
oysters,12.0,1.32,2.52,0.05,0.01,0.06,0.94,0.0,4.4,0.0,0.24,0.0,0.01,0.03,0.28,0.02,5.62,8.0,0.12,0.9,0.6,104.0,38.0,17.6,14.8,20.0,0.38,2.64,0.18,0.08,14.6,9.6,0.8,0.8
baklava,427.0,4.2,239.4,6.68,9.21,1.91,43.4,1.5,53.0,0.1,1.6,18.0,0.06,0.05,0.3,0.08,0.1,17.0,0.29,1.4,0.0,113.0,101.0,19.0,26.0,60.0,0.6,0.6,0.2,0.54,1.0,8.0,0.0,5.0
falafel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pad_thai,850.0,38.0,361.8,6.01,12.41,2.11,79.9,2.6,56.0,0.5,6.1,70.0,0.24,0.3,6.3,0.39,1.5,78.0,1.86,17.2,12.0,1737.0,758.0,471.0,124.0,461.0,3.9,3.5,0.78,0.82,15.0,41.0,7.0,63.0
beef_carpaccio,347.0,15.1,269.1,9.71,0.73,0.03,0.4,0.0,2.0,0.0,0.5,10.0,0.08,0.19,4.3,0.33,1.2,7.0,1.22,0.0,1.0,40.0,260.0,3.0,17.0,150.0,1.4,3.8,0.08,0.0,0.0,0.0,0.0,0.0
filet_mignon,340.0,24.5,219.6,8.8,2.63,0.44,2.3,1.1,34.0,0.0,1.2,17.0,0.15,0.32,5.6,0.42,4.4,14.0,1.08,3.7,2.0,501.0,438.0,8.0,28.0,212.0,3.3,5.4,0.12,0.07,1.0,17.0,1.0,1.0
paella,129.0,7.45,36.54,0.89,0.38,0.06,14.83,0.37,14.46,0.02,0.7,8.69,0.05,0.05,1.61,0.1,4.65,13.97,0.5,1.97,7.05,350.84,166.37,29.48,27.15,98.48,0.61,0.88,0.13,0.16,2.25,6.74,0.53,12.14
beef_tartare,181.0,13.32,109.44,3.1,1.16,0.15,2.9,0.32,90.57,1.2,1.29,18.0,0.09,0.22,2.4,0.26,1.51,32.35,1.41,11.34,6.65,292.27,245.45,36.01,17.22,193.66,2.6,2.16,0.1,0.05,8.8,9.73,0.24,3.03
fish_and_chip,529.0,18.33,257.58,3.16,9.71,1.99,45.71,2.88,7.21,0.79,4.26,47.6,0.27,0.17,3.95,0.41,1.06,47.88,1.37,3.19,68.26,266.01,1183.01,83.6,61.71,349.0,1.03,0.82,0.24,0.31,280.26,25.33,10.06,9.37
